"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",2.04139320098665,1.97268167211446,2.37414508337819,2.4986224367063,2.2183797095776,2.10269859203793,2.18519719609893,2.11413333125167,2.20906043608096,2.2690628702022,2.25033014954013,2.27170826045337,2.224116961204,2.23204404691023,2.34937887175342,2.24059398583336,2.29819744860149,2.29437200191684,2.29363868273301,2.30516951022423,2.28083440446802,2.31889995811254,2.30743072220448,2.31698183021498,2.30264142609688,2.31197602387542,2.29740872066035,2.2991684046105,2.3133312401245
"2",1.76910567945839,1.98528464036321,2.36167870384113,2.14868253942702,2.40457361015709,2.26273223613171,2.41372541954197,2.20575725487064,2.2654720572405,2.21445633758104,2.36530838550645,2.21697291083472,2.31452694860932,2.24540987023494,2.24341986520717,2.22555647641164,2.28632711546911,2.27822295875557,2.31763693090864,2.33133990797473,2.33166872863537,2.27723490043616,2.27208399392673,2.29052841265237,2.29417331162043,2.31897547550282,2.31792056618473,2.29290759663197,2.3088282990572
"3",2.03201685675971,1.96580823970851,2.10109708241841,2.2558090838606,2.21383232660096,2.35093149634508,2.3603844100849,2.15498516098463,2.30926555336265,2.2785389969318,2.25437659260731,2.3104341915819,2.26284120908119,2.30344605768537,2.31882649831291,2.31084212637178,2.2724174089241,2.28994157200213,2.31490605903996,2.27972504270103,2.32561351507119,2.30069042546476,2.30241278564737,2.3073624080585,2.31378661817357,2.2940012334343,2.29461925820033,2.30493610791569,2.29512100605725
"4",2.40801821804336,2.19048276348972,2.05836002966884,2.28846045508982,2.37040924970814,2.31201903683812,2.22443356067578,2.34071511059084,2.3552458070147,2.29651953317269,2.30060631852589,2.32245238059317,2.24366931443622,2.38131204112249,2.3556228128895,2.24822025583933,2.2889552018129,2.30781447660646,2.32845559528137,2.30809038925953,2.28692410639594,2.33395103874577,2.29740241613545,2.28528238512764,2.28056216235283,2.3129674810861,2.3055386230361,2.29110205091649,2.2955586953045
"5",1.20695182142105,2.49361553478989,2.20389838878438,2.25352349929344,2.2142109532857,2.32086916728334,2.21730815166172,2.4190253354428,2.32046696140257,2.28782419539306,2.28931577386611,2.31620061948296,2.31775153627592,2.41137804338201,2.24581059440507,2.33883771143397,2.30905537104238,2.2704940460104,2.31365968201047,2.28400477736621,2.2918612325276,2.26019282363303,2.30224354131032,2.29655299093589,2.30724896343685,2.29810440913988,2.3102142475994,2.28404659527043,2.29978874056806
"6",1.68162111107135,2.30386166397764,2.34596608053631,2.25897346568812,2.26820361551665,2.30539374153846,2.27285444368015,2.36864359333996,2.31227640021684,2.26311101950257,2.28514602286313,2.37153185171776,2.30527872742973,2.25990468549386,2.34443294822866,2.24705984271615,2.31046200375293,2.36146805240655,2.32105496126677,2.33168608484687,2.30085270487189,2.27407060589879,2.30166963309071,2.29979983528896,2.31074245952104,2.29026673268439,2.30638957508143,2.29262405822773,2.30581492413903
"7",2.14224958472525,2.20052723676336,2.07969967118282,2.15506565017406,2.36573462330242,2.36291999638052,2.17297413906146,2.28861712781565,2.17710152306803,2.35580802264253,2.32356078002688,2.33128329770504,2.33116280457724,2.31934593361041,2.25172385544763,2.31439284876785,2.32912380250757,2.27791855285982,2.25599344474621,2.23241844550354,2.29237932722899,2.30810827709845,2.3205079779902,2.25630786470083,2.32212797379451,2.29996230899518,2.30162963944291,2.30805119510185,2.30350980842794
"8",2.53117342661932,2.40369587679225,2.54633780359652,2.20630263797744,2.240664710732,2.2481216156568,2.21064360135388,2.34207811346252,2.30697364300041,2.28383949891355,2.30250670629345,2.33895578342876,2.30930582692128,2.35812732410738,2.27120314769809,2.31918782975952,2.26012692703769,2.28828603563575,2.26210991101578,2.28826025048922,2.31180323682619,2.32015718391823,2.28746419746465,2.31815478552186,2.30460369791597,2.29627467891006,2.29716027200057,2.29561073612737,2.30115867003002
"9",2.34412891735885,2.57882911176842,2.21573426693633,2.41379391583333,2.23853071818176,2.16160421008454,2.34410157134849,2.27980959711202,2.33803586107702,2.31317287512706,2.25682628435559,2.35023603471044,2.21220959591904,2.18246551370419,2.28765254653004,2.33018014995831,2.2612288496364,2.28317789456369,2.32121200300101,2.29387310695744,2.34859611924713,2.30395752192137,2.32920343187224,2.29741553374186,2.31819174446477,2.29481861584255,2.30278539548098,2.29117146139878,2.29491405539188
"10",1.19411329968337,2.30909870576528,2.1164123208307,2.28104664227918,2.14476381506995,2.40506558457222,2.29402533885356,2.42462134641249,2.29938571525742,2.29791080319542,2.35218892288243,2.22847409939014,2.31022824300948,2.289210403301,2.33730946511873,2.26026093677768,2.29193337531665,2.28420619557571,2.30709174041479,2.26790232503587,2.31156080094337,2.30702049895235,2.29822797924441,2.3019459601274,2.26721272583405,2.29264745571964,2.30083486804807,2.30820720474982,2.29149326738521
